num,moto
1,Είσαι δυνατός-δυνατή
2,Μπορείς και θα τα καταφέρεις
3,Μπορείς να καταφέρεις τα πάντα!
4,Κάνε το καλύτερο που μπορείς
5,Μην περιορίζεις τον εαυτό σου!
6,Σημασία έχει να εξελίσσεσαι
7,Αγάπησε τον εαυτό σου!
8,Μην φοβάσαι στις προκλήσεις!
9,Θα τα καταφέρεις!
10,Θέσε τα όριά του
11,Αβεβαιότητα = Άπειρες Δυνατότητες
12,Αισιοδοξία
13,Πίστεψε στον εαυτό σου!
14,Καλλιέργησε τα προσόντα σου!
15,Αξιοποίησε τις δυνατότητές σου
16,Υπομονή
17,Μην τα παρατάς!
18,Κάνε Θετικές Σκέψεις!
19,Πίστεψε στον εαυτό σου!
20,Κάνε όνειρα και πραγματοποίησέ τα